ProductID,Product,Brand,Category,Store,Floor,Price,OriginalPrice,Discount,Size,Color,Material,Rating,Reviews,Availability,Description
101,Nike Air Max,Nike,Shoes,Nike,Ground,5999,6999,14,9,Black,Mesh,4.7,125,Yes,"Lightweight running shoe with air cushioning."
102,Nike Revolution 7,Nike,Shoes,Nike,Ground,4499,5499,18,10,Blue,Mesh,4.5,89,Yes,"Comfortable daily running shoe."
103,Adidas Ultraboost,Adidas,Shoes,Adidas,Ground,7999,8999,11,10,White,Knit,4.8,320,Yes,"Premium running shoe with responsive cushioning."
104,Adidas Run Falcon,Adidas,Shoes,Adidas,Ground,4999,5999,17,9,Grey,Mesh,4.4,150,Yes,"Versatile sports shoe for training and running."
105,Puma Runner,Puma,Shoes,Puma,Ground,5499,6499,15,9,Blue,Mesh,4.5,98,Yes,"Comfortable sports shoe for workouts."
106,Puma Velocity Nitro,Puma,Shoes,Puma,Ground,6999,7999,12,10,Red,Mesh,4.6,112,Yes,"Performance running shoe with superior grip."
107,Reebok Energen,Reebok,Shoes,Reebok,Ground,4299,5299,19,8,Black,Synthetic,4.3,85,Yes,"Lightweight shoe for everyday fitness."
108,Reebok Zig Dynamica,Reebok,Shoes,Reebok,Ground,5999,6999,14,9,White,Synthetic,4.5,94,Yes,"Modern running shoe with enhanced comfort."
109,Skechers Go Walk,Skechers,Shoes,Skechers,First,4999,6499,23,9,Navy,Mesh,4.7,210,Yes,"Walking shoe with memory foam comfort."
110,Skechers Max Cushioning,Skechers,Shoes,Skechers,First,7499,8999,17,10,Black,Mesh,4.8,178,Yes,"Extra cushioning for long-distance walking."
111,Woodland Trekker,Woodland,Shoes,Woodland,First,4499,5999,25,9,Brown,Leather,4.5,95,Yes,"Durable trekking shoe for outdoor adventures."
112,Woodland Adventure Pro,Woodland,Shoes,Woodland,First,5499,6999,21,10,Tan,Leather,4.6,110,Yes,"Rugged outdoor shoe with strong grip."
113,Bata Power Runner,Bata,Shoes,Bata,Ground,2499,2999,17,8,Black,Synthetic,4.2,130,Yes,"Affordable sports shoe for daily use."
114,Bata North Star,Bata,Shoes,Bata,Ground,2999,3999,25,9,White,Canvas,4.3,145,Yes,"Casual sneaker suitable for everyday wear."
115,Converse Chuck Taylor,Converse,Shoes,Converse,Second,3999,4999,20,9,White,Canvas,4.8,350,Yes,"Classic high-top sneaker with timeless style."
116,Vans Old Skool,Vans,Shoes,Vans,Second,4599,5599,18,10,Black,Canvas,4.7,290,Yes,"Iconic skate shoe with durable construction."
117,New Balance 574,New Balance,Shoes,New Balance,Second,6999,7999,12,9,Grey,Suede,4.7,220,Yes,"Comfortable lifestyle sneaker with premium finish."
118,ASICS Gel Contend,ASICS,Shoes,ASICS,Ground,5799,6799,15,10,Blue,Mesh,4.6,170,Yes,"Running shoe with gel cushioning support."
119,Fila Racer,Fila,Shoes,Fila,First,3799,4799,21,8,Red,Mesh,4.3,76,Yes,"Budget-friendly athletic shoe."
120,Campus Oxyfit,Campus,Shoes,Campus,Ground,1999,2499,20,9,Grey,Mesh,4.2,215,Yes,"Popular lightweight sports shoe for students."
